Topic,Count,Name,Representation,Representative_Docs
-1,8115,-1_que_en_de_el,"['que', 'en', 'de', 'el', 'la', 'mexico', 'se', 'los', 'un', 'es']","['presidenta de mexico claudia sheinbaum pardo si esta trabajando el secretario de agricultura con todos los gobernadores para que los programas que ya tenemos puedan tener su espacio su desarrollo en los distintos estados del pais y particularmente el norte de veracruz ', 'presidenta de mexico claudia sheinbaum pardo si ya ', 'asi que este programa yo digo que este programa es para todas y todos porque un dia todos vamos a ser adultos mayores y la decision de nuestra presidenta es que este programa sea para siempre no solo por un tiempo sino para siempre ']"
0,327,0_judicial_jueces_corte_poder,"['judicial', 'jueces', 'corte', 'poder', 'ministros', 'eleccion', 'tribunal', 'magistrados', 'juez', 'reforma']","['eso significa que continua el proceso electoral por parte del instituto nacional electoral para la eleccion de jueces juezas magistrados magistradas ministros y ministras del poder judicial de la federacion es una resolucion muy importante recuerden que en el caso de procedimientos electorales la suprema corte de justicia de la nacion no tiene interes juridico no tiene ninguna posibilidad de resolucion sino es el tribunal electoral entonces esto ya esta ', 'la reforma al poder judicial ', 'pregunta para el poder judicial ']"
1,309,1_pardo_sheinbaum_claudia_presidenta,"['pardo', 'sheinbaum', 'claudia', 'presidenta', 'mexico', 'no', 'si', 'pues', 'acuerdo', 'revisamos']","['presidenta de mexico claudia sheinbaum pardo no ', 'presidenta de mexico claudia sheinbaum pardo no ', 'presidenta de mexico claudia sheinbaum pardo no ']"
2,269,2_hospital_hospitales_quirofanos_camas,"['hospital', 'hospitales', 'quirofanos', 'camas', 'consultorios', 'salud', 'unidades', 'medicas', 'medicina', 'regional']","['y para el 2026 el apoyo para la construccion del hospital de la mujer y la ampliacion del hospital infantil ', 'hasta anoche teniamos 3 graves en el hospital ignacio zaragoza otra persona grave en el hospital de tlahuac y en la madrugada llego una persona mas al hospital 20 de noviembre que de hecho era trasladada de otro hospital porque el 20 de noviembre es un hospital de tercer nivel al igual que el hospital ignacio zaragoza donde existe toda la tecnologia medica para darles la atencion necesaria ', 'en este mes de abril vamos a inaugurar otro nuevo hospital el hospital regional de alta especialidad en torreon coahuila este hospital va a tener un costo de 3 mil millones de pesos esta en una superficie de 98 mil metros cuadrados va a atender a 350 mil derechohabientes y va a contar con 250 camas censables y 260 camas no censables ']"
3,267,3_mujeres_mujer_las_ser,"['mujeres', 'mujer', 'las', 'ser', 'igualdad', 'hombres', 'derechos', 'violencia', 'podemos', 'abogadas']","['y otra muy importante ahora las mujeres tambien llegamos a la constitucion se reconoce en el 4o constitucional la igualdad sustantiva de las mujeres se reconoce tambien que a trabajo igual salario igual para las mujeres nada de que los hombres ganen mas que las mujeres se reconoce en la constitucion el derecho de las mujeres a una vida libre sin violencia a una vida en paz para todas las mujeres ', 'las abogadas de las mujeres es parte de un programa integral que tiene que ver con esta reivindicacion de las mujeres y en particular de lo que queremos erradicar que es la violencia contra las mujeres que tiene que ver con un cambio cultural profundo que significa el reconocimiento de las mujeres como personas y en todas las igualdades que se requieren reconocer porque no solo es una la igualdad sustantiva de las mujeres y tiene que ver tambien con defender a las mujeres que viven violencias ', ' por que para las mujeres ']"
4,245,4_viviendas_vivienda_mil_meta,"['viviendas', 'vivienda', 'mil', 'meta', 'infonavit', 'millon', 'programa', 'conavi', 'construir', 'casas']","['pero ademas estamos construyendo vivienda la vivienda es para los que ganan menos que nunca tienen acceso a la vivienda los de 1 y 2 salarios minimos para eso es las viviendas que estamos construyendo ', 'aqui tambien vamos a construir en el sexenio ya iniciamos 60 mil viviendas para tabasco para familias que tengan ingresos menores a 2 salarios minimos con la comision nacional de vivienda 20 mil y con el infonavit 40 mil viviendas ', 'a ver esta en este momento bueno son un millon 100 mil viviendas del programa nacional de vivienda para el bienestar no quiere decir que sean las unicas viviendas que se van a construir son viviendas que tienen como meta atender a las personas que ganan menos de dos salarios minimos ']"
5,242,5_agua_riego_rio_potable,"['agua', 'riego', 'rio', 'potable', 'aguas', 'distritos', 'humano', 'concesiones', 'saneamiento', 'rios']","['y la idea es que podamos juntarlo en esta ocasion para acceso a agua potable que es uno de los temas que practicamente en todos los municipios del pais tienen problemas aunque haya suficiente abasto de agua a veces no son suficientes las redes municipales para llevar agua a las distintas localidades particularmente en las regiones de nuestro pais en donde hay escasez de agua pues todavia mas lo sufren mas los municipios que tienen mayor escasez ', 'republica con derecho al agua ', 'lo segundo es mucha agua que se utiliza para riego que es el 75 por ciento del agua estamos haciendo eficientes los distritos tecnificandolos para que de ahi obtengamos el agua para aquellos lugares que no tienen suficiente abasto de agua para poder cumplir lo principal que es el derecho humano al agua ']"
6,233,6_tratado_unidos_comercial_aranceles,"['tratado', 'unidos', 'comercial', 'aranceles', 'estados', 'comercio', 'canada', 'paises', 'china', 'acero']","['tenemos un acuerdo comercial el t mec el tratado que nosotros llamamos mexico estados unidos canada estados unidos le llama estados unidos canada mexico y canada pone canada en primer como primer pais pero lo importante es que tenemos un acuerdo comercial ', 'practicamente todo el comercio que tenemos con estados unidos esta dentro del tratado de mexico estados unidos canada hay una parte que tiene que ver con reglas de origen pero todo esta practicamente dentro del tratado comercial ', 'lo que establece el tratado comercial con estados unidos y canada es que hay cero aranceles o distintos aranceles muy bajos no en todo es cero aranceles con la condicion de que el 75 por ciento en algunos casos un porcentaje alto sea fabricado en canada en estados unidos o en mexico eso es en general el tratado ']"
7,233,7_ver_cerramos_bueno_aca,"['ver', 'cerramos', 'bueno', 'aca', 'luego', 'companera', 'vamos', 'voy', 'atras', 'aqui']","[' bueno vamos a ver por aca a ver aqui la companera ', ' bueno quien mas quien mas quien mas a ver a ver a ver a ver la companera que y luego atras ', ' bueno vamos quien mas quien mas quien mas a ver aqui y luego aca atras y luego alma alla atras y luego aca a ver si nos da tiempo ']"
8,189,8_trump_presidente_pregunta_presidenta,"['trump', 'presidente', 'pregunta', 'presidenta', 'usted', 'donald', 'obrador', 'ultimo', 'lopez', 'le']","[' como considera que debe ser la relacion entre la presidenta y el proximo presidente donald trump ', 'pregunta una reunion con el presidente trump se esta buscando una reunion con el presidente trump ', 'presidenta tambien sobre otro tema nosotros estuvimos en washington el companero y un servidor estuvimos cubriendo la toma de protesta de donald trump y bueno del presidente donald trump y muchos colectivos se nos acercaron y si usted me lo permite le mandan una carta porque dice asi ']"
